WaterLevel,Hora
4.371,0
4.007,1
3.2460000000000004,2
2.3080000000000003,3
1.524,4
1.048,5
1.028,6
1.432,7
2.134,8
3.069,9
3.912,10
4.686,11
5.29,12
5.484,13
5.2410000000000005,14
4.522,15
3.755,16
2.9739999999999998,17
2.4819999999999998,18
2.301,19
2.419,20
2.787,21
3.292,22
3.735,23
4.04,24
4.112,25
3.8139999999999996,26
3.174,27
2.4130000000000003,28
1.8619999999999999,29
1.4709999999999999,30
1.609,31
1.993,32
2.616,33
3.472,34
4.335,35
5.07,36
5.627999999999999,37
5.68,38
5.3260000000000005,39
4.601,40
3.6660000000000004,41
2.813,42
2.298,43
2.081,44
2.134,45
2.593,46
2.99,47
3.548,48
4.027,49
4.106,50
4.03,51
3.551,52
3.0260000000000002,53
2.498,54
2.272,55
2.314,56
2.79,57
3.39,58
4.194,59
5.001,60
5.742999999999999,61
6.093999999999999,62
5.986000000000001,63
5.539,64
4.68,65
3.705,66
2.698,67
2.239,68
1.8780000000000001,69
2.154,70
2.5669999999999997,71
3.082,72
3.715,73
4.158,74
4.391,75
4.421,76
4.043,77
3.6660000000000004,78
3.105,79
2.852,80
2.9539999999999997,81
3.338,82
4.04,83
4.857,84
5.631,85
6.369,86
6.542999999999999,87
6.356,88
5.648,89
4.585,90
3.43,91
2.4819999999999998,92
1.901,93
1.7730000000000001,94
1.871,95
2.4459999999999997,96
3.062,97
3.925,98
4.4830000000000005,99
4.877,100
4.955,101
4.631,102
4.191,103
3.8169999999999997,104
3.5839999999999996,105
3.801,106
4.227,107
4.916,108
5.595,109
6.332999999999999,110
6.796,111
7.0120000000000005,112
6.337000000000001,113
5.631,114
4.398,115
3.102,116
1.94,117
1.337,118
1.2409999999999999,119
1.632,120
2.176,121
3.049,122
3.8789999999999996,123
4.309,124
4.877,125
4.942,126
4.601,127
3.9810000000000003,128
3.5869999999999997,129
3.417,130
3.613,131
4.24,132
4.955,133
5.881,134
6.602,135
6.747000000000001,136
6.93,137
6.465,138
5.159,139
3.784,140
2.4090000000000003,141
1.4809999999999999,142
0.9329999999999999,143
1.081,144
1.442,145
2.363,146
3.3310000000000004,147
4.253,148
4.913,149
5.087,150
5.051,151
4.66,152
4.056,153
3.509,154
3.2560000000000002,155
3.659,156
4.44,157
5.11,158
5.49,159
6.409,160
6.76,161
6.337000000000001,162
5.47,163
4.047,164
2.383,165
1.196,166
0.32899999999999996,167
0.096,168
0.28300000000000003,169
